id,age,level,height,weight,waist,hip,income,bmi
177,41,2,173,65,82,90,4,22
178,46,2,155,61,90,93,3,25
179,68,1,155,46,71,79,1,19
180,60,1,143,51,87,89,1,25
181,44,1,175,77,94,96,3,25
182,44,2,153,49,78,87,2,21
183,67,1,147,67,99,99,1,31
184,43,5,174,78,91,97,4,26
185,43,3,154,53,71,86,4,22
186,44,2,160,74,90,92,3,29
187,52,1,158,54,78,85,2,22
188,48,2,158,49,73,88,4,20
189,49,3,176,83,88,100,2,27
190,57,1,153,52,82,87,1,22
191,57,2,149,47,78,89,2,21
192,63,1,149,37,68,77,1,17
193,68,1,157,59,92,93,1,24
194,69,2,158,73,97,100,1,29
195,69,1,146,44,75,90,1,21
196,61,2,155,52,78,87,1,22
197,57,1,152,75,102,103,3,32
198,43,3,176,74,86,94,5,24
199,63,1,172,60,80,91,1,20
200,67,1,154,57,89,91,1,24
201,46,1,156,60,86,96,2,25
202,43,3,168,76,90,98,3,27
203,42,2,154,59,81,94,3,25
204,43,2,161,77,95,103,2,30
205,62,1,151,48,78,85,1,21
206,45,1,161,54,80,92,2,21
207,48,3,162,71,91,99,4,27
208,42,3,160,49,72,87,4,19
209,68,1,139,45,70,90,2,23
210,46,2,154,61,84,94,2,26
211,40,1,150,61,83,96,4,27
212,41,2,159,79,95,104,4,31
213,41,3,166,69,90,97,8,25
214,66,1,165,50,70,87,1,18
215,64,1,148,53,88,92,4,24
216,62,1,159,55,76,87,1,22
217,69,1,157,47,75,87,1,19
218,60,1,161,61,85,92,1,24
219,62,1,156,61,87,94,1,25
220,42,3,156,58,76,91,4,24
221,66,1,159,47,76,84,4,19
222,59,1,164,60,82,90,1,22
223,53,1,170,73,96,99,2,25
224,52,1,161,91,117,110,1,35
225,50,1,149,65,89,96,1,29
226,63,1,155,59,95,100,2,25
227,46,2,171,76,92,100,2,26
228,41,3,172,59,75,89,4,20
229,48,1,162,71,89,98,4,27
230,68,1,156,48,80,85,2,19
231,62,1,146,44,74,81,2,21
232,62,1,150,70,100,109,1,31
233,67,1,140,53,91,95,4,27
234,67,1,152,62,104,100,5,27
235,54,2,179,81,87,100,5,25
236,52,2,150,53,89,92,5,24
237,65,3,161,53,80,86,2,20
238,52,1,154,65,92,100,1,28
239,56,2,160,64,89,98,1,25
240,68,1,139,37,64,79,1,19
241,64,1,152,62,100,98,1,27
242,69,1,151,49,76,87,1,22
243,65,1,154,68,109,99,1,29
244,63,1,154,55,78,88,1,23
245,63,1,160,59,81,94,3,23
246,59,1,145,35,62,81,3,17
247,69,2,159,56,80,92,1,22
248,64,1,155,46,77,87,1,19
249,64,2,164,61,82,91,2,23
250,61,1,154,63,102,100,2,26
251,46,2,168,77,90,94,4,27
252,47,2,153,60,87,97,1,26
253,54,1,167,73,90,97,2,26
